"أسرار الاستغفار في سعة الرزق","fadl-istighfar","أذكار","تعرف على فضل الاستغفار وكيف يفتح لك الأبواب المغلقة ويجلب البركة في المال والولد.","## الاستغفار: مفتاح الأقفال\n\nهل شعرت يوماً أن الأبواب سُدّت في وجهك؟ الاستغفار ليس مجرد كلمات، بل هو وقود للتغيير. قال تعالى: 'فَقُلْتُ اسْتَغْفِرُوا رَبَّكُمْ إِنَّهُ كَانَ غَفَّارًا'.\n\n### فوائد الاستغفار:\n1. **نزول الغيث:** وهو البركة في كل شيء.\n2. **القوة في الجسد:** 'وَيَزِدْكُمْ قُوَّةً إِلَى قُوَّتِكُمْ'.\n3. **راحة البال:** يمحو أثر الذنوب التي تثقل القلب.","2026-01-29"
"بر الوالدين: طريقك المختصر للجنة","bir-alwalidayn","أخلاق","لماذا قرن الله عبادته بالإحسان للوالدين؟ اكتشف أثر البر في تيسير حياتك وتوفيقك.","## الجنة تحت أقدامهم\n\nالبر ليس طاعة عمياء، بل هو حب وإحسان. 'وَبِالْوَالِدَيْنِ إِحْسَانًا'.\n\n### كيف تبرهما اليوم؟\n* كلمة طيبة.\n* دعاء بظهر الغيب.\n* تقبيل اليد.\n\nتذكر أن برك لهما هو سلف ستحصده من أبنائك مستقبلاً.","2026-01-30"
"سورة الكهف: نور ما بين الجمعتين","surat-al-kahf","عبادات","لماذا نقرأ سورة الكهف كل جمعة؟ تعرف على القصص الأربع والعبر المستفادة منها لحماية قلبك.","## نور الجمعة\n\nسورة الكهف هي الحصن من الفتن. تضم قصصاً تعلمك الثبات على الدين، والمال، والعلم، والقوة.\n\n### فضلها:\nنور يضيء لك دربك طوال الأسبوع. لا تنسَ قراءتها وتدبر معانيها اليوم.","2026-01-31"
"أذكار الصباح: حصنك الحصين","adhkar-sabah","أذكار","ابدأ يومك ببركة الأذكار. كيف تحميك أذكار الصباح من العين والحسد وتجعل يومك مليئاً بالنشاط؟","## بداية يومك تفرق\n\nمن لزم أذكار الصباح وجد حلاوة في يومه. هي ليست مجرد وقاية، بل هي اتصال بالله في أول النهار.\n\n### أهم الأذكار:\n1. آية الكرسي.\n2. المعوذات.\n3. رضيت بالله رباً.","2026-02-01"
"قيام الليل: شرف المؤمن","qiyam-layl","عبادات","هل لديك أمنية صعبة؟ تعلم كيف تناجي ربك في ثلث الليل الآخر حيث ينزل الله للسماء الدنيا.","## ساعة الإجابة\n\nفي وقت ينام فيه الجميع، يفتح الله أبوابه للسائلين. 'أمن هو قانت آناء الليل'.\n\n### نصيحة لتبدأ:\nابدأ بركعتين فقط قبل الفجر بعشر دقائق، وستجد فرقاً في نفسيتك.","2026-02-02"
"فضل الصلاة على النبي ﷺ","salat-ala-nabi","أذكار","يكفى همك ويغفر ذنبك.. اكتشف بركة الصلاة على النبي في تفريج الكروب واستجابة الدعاء.","## صلوا عليه وسلموا\n\nالصلاة على النبي هي العبادة التي بدأ الله بها بنفسه. 'إن الله وملائكته يصلون على النبي'.\n\n### الثمرة:\nكلما صليت عليه مرة، صلى الله عليك بها عشراً.","2026-02-03"
"صلة الرحم: مفتاح العمر المديد","silat-al-rahim","أخلاق","هل تريد زيادة في رزقك وطولاً في عمرك؟ السر في صلة الرحم كما أخبرنا النبي ﷺ.","## من أراد أن يبسط له في رزقه\n\nالرحم معلقة بالعرش. من وصلها وصله الله. لا تقطع من أمرك الله بوصله.\n\n### فكرة بسيطة:\nاتصال هاتفي أو رسالة قصيرة قد تكون هي صلة الرحم التي تفتح لك الأبواب.","2026-02-04"
"الصبر عند الصدمة الأولى","sabr-ind-albala","إيمانيات","كيف تتعامل مع الابتلاء؟ تعرف على أجر الصابرين وكيف يحول الله المحنة إلى منحة.","## إنما الصبر عند الصدمة الأولى\n\nالبلاء اختبار للمحبة. 'وبشر الصابرين'.\n\n### كيف تصبر؟\n1. قل إنا لله وإنا إليه راجعون.\n2. تذكر أن الله لا يكلف نفساً إلا وسعها.\n3. ابحث عن الأجر الخفي في المصيبة.","2026-02-05"
"عظمة القرآن وتدبره","tadabbur-quran","عبادات","القرآن ليس للقراءة فقط، بل للشفاء والهداية. تعلم كيف تبني علاقة يومية مع كتاب الله.","## هدى للمتقين\n\nالقرآن ربيع القلوب. 'أفلا يتدبرون القرآن'.\n\n### وردك اليومي:\nاجعل لك ورداً ثابتاً ولو صفحة واحدة، المهم الاستمرارية.","2026-02-06"
"التوكل على الله وحسن الظن به","tawakkul-ala-allah","إيمانيات","ما الفرق بين التوكل والتواكل؟ تعلم كيف تأخذ بالأسباب وتترك النتائج على خالق الأسباب.","## ومن يتوكل على الله فهو حسبه\n\nالتوكل هو راحة القلب. 'لو توكلتم على الله حق توكله لرزقكم كما يرزق الطير'.\n\n### العمل:\nافعل ما بوسعك، ثم قل 'فوضت أمري إلى الله'.","2026-02-07"
"فضل صيام التطوع","siyam-tatawwu","عبادات","صيام الاثنين والخميس أو الأيام البيض.. تعرف على أثر الصيام في تهذيب النفس والصحة.","## الصوم لي وأنا أجزي به\n\nبعيداً عن الفريضة، هناك باب الريان الذي ينتظر الصائمين.\n\n### الفائدة:\nالصيام يطهر الروح والجسد، ويعلمك التحكم في رغباتك.","2026-02-08"
"حسن الخلق: أثقل شيء في الميزان","husn-al-khuluq","أخلاق","كيف تكون أقرب الناس مجلساً من النبي ﷺ يوم القيامة؟ السر في كلمتك وتعاملك.","## إنما بعثت لأتمم مكارم الأخلاق\n\nالدين معاملة. الابتسامة، الصدق، والأمانة هي جوهر إيمانك.\n\n### التحدي:\nحاول ألا تغضب اليوم، وكن سمحاً في تعاملك مع الناس.","2026-02-09"
"الدعاء بظهر الغيب","dua-bi-zahr-alghayb","إيمانيات","سر استجابة الدعاء لك عندما تدعو لغيرك. تعرف على الملك الذي يقول 'ولك بمثل'.","## دعوة مستجابة\n\nأسرع الدعاء إجابة هو دعاء غائب لغائب. هو دليل على سلامة القلب وحب الخير.\n\n### جرب الآن:\nادعُ لصديقك أو جارك بشيء يتمناه، وانتظر البشرى لك أيضاً.","2026-02-10"
"قيمة الوقت في حياة المسلم","waqt-al-muslim","أخلاق","الوقت هو رأس مالك الوحيد. كيف تنظمه بما يرضي الله ويحقق لك النجاح في الدنيا والآخرة؟","## نعمتان مغبون فيهما كثير من الناس\n\nالوقت كالسيف. يومك هو عمرك المصغر.\n\n### نصيحة:\nلا تضيع ساعاتك في الفراغ، اجعل لكل وقت نصيباً من ذكر أو عمل نافع.","2026-02-11"
"الكلمة الطيبة صدقة","kalima-tayyiba","أخلاق","كلمة واحدة قد تبني نفساً أو تهدمها. تعلم فن انتقاء الكلمات كما علمنا الإسلام.","## كشجرة طيبة\n\nالكلمة الطيبة تفتح القلوب المغلقة. 'وقولوا للناس حسناً'.\n\n### الممارسة:\nاجعل لسانك رطباً بالثناء والكلمات التي تجبر الخواطر.","2026-02-12"
"أذكار النوم والراحة النفسية","adhkar-nawm","أذكار","تخلص من الأرق والقلق بأذكار النوم. كيف تجعل نومك عبادة وتستيقظ بنشاط؟","## باسمك ربي وضعت جنبي\n\nالنوم موتة صغرى. حصن نفسك قبل أن تسلم روحك لبارئها.\n\n### الأذكار:\nسورة الملك، والنفث في الكفين بالمعوذات.","2026-02-13"
"فضل عيادة المريض","iyadat-almarid","أخلاق","خطواتك لزيارة مريض هي خطوات في خريف الجنة. تعرف على الأجر العظيم لهذه السنة المهجورة.","## خريف الجنة\n\nمن عاد مريضاً لم يزل في خرفة الجنة حتى يرجع. استشعر معية الله عند المريض.\n\n### الآداب:\nخفف الزيارة، وادعُ له بالشفاء، وأدخل السرور على قلبه.","2026-02-14"
"التقوى: وصية الله للأولين والآخرين","taqwa-allah","إيمانيات","ما هي التقوى حقيقة؟ وكيف تجعل بينك وبين عذاب الله وقاية في كل فعل تقوم به؟","## الخوف من الجليل والعمل بالتنزيل\n\nالتقوى هي الميزان الحقيقي. 'إن أكرمكم عند الله أتقاكم'.\n\n### الثمرة:\n'ومن يتق الله يجعل له مخرجاً'. التقوى هي مفتاح حل المشكلات.","2026-02-15"
"صلاة الضحى: صدقة مفاصلك","salat-alduha","عبادات","صلاة الأوابين.. كيف تؤدي شكر 360 مفصلاً في جسدك بركعتين فقط في وقت الضحى؟","## صدقة يومية\n\nكل سلامى من الناس عليه صدقة. صلاة الضحى تجزئ عن ذلك كله.\n\n### وقتها:\nمن بعد شروق الشمس بربع ساعة وحتى قبل الظهر بربع ساعة.","2026-02-16"
"التوبة الصادقة والرجوع لله","tawba-nasuh","إيمانيات","باب الله لا يغلق أبداً. تعلم شروط التوبة وكيف تبدأ صفحة جديدة بيضاء مع الخالق.","## التائب من الذنب كمن لا ذنب له\n\nالله يفرح بتوبة عبده. لا تدع الشيطان يقنطك من رحمة الله.\n\n### الخطوات:\nالندم، الإقلاع عن الذنب، والعزم على عدم العودة.","2026-02-17"
"فضل كفالة اليتيم","kafalat-al-yatim","أخلاق","كن رفيق النبي ﷺ في الجنة بكفالة يتيم. كيف تساهم في بناء حياة طفل وتنال أعلى الدرجات؟","## أنا وكافل اليتيم في الجنة كهاتين\n\nمسيح القلوب هو الإحسان لليتيم. الصدقة في اليتيم تضاعف الأجر.\n\n### الأثر:\nتمسح قسوة القلب وتجلب البركة في البيت.","2026-02-18"
"أمانة الكلمة في عصر السوشيال ميديا","amana-al-kalima","أخلاق","كل حرف تكتبه هو مسؤولية. كيف تحول حساباتك على التواصل الاجتماعي لميزان حسنات؟","## ما يلفظ من قول إلا لديه رقيب عتيد\n\nكلمتك قد تنشر خيراً أو شراً. كن مفتاحاً للخير مغلاقاً للشر.\n\n### نصيحة:\nقبل أن تنشر، اسأل نفسك: هل يرضي هذا الله؟","2026-02-19"
"إماطة الأذى عن الطريق","imatat-al-adha","أخلاق","شعبة من شعب الإيمان يغفل عنها الكثير. كيف تكون نظافة بيئتك جزءاً من تدينك؟","## أدناها إماطة الأذى عن الطريق\n\nديننا دين النظافة والجمال. غصن شوك أزاحه رجل غفر الله له به.\n\n### التطبيق:\nلا تترك أثراً سيئاً خلفك، وساهم في تجميل مكانك.","2026-02-20"
"بركة البكور: سر النجاح","barakat-al-bukur","إيمانيات","بورك لأمتي في بكورها. لماذا يعتبر الصباح الباكر هو وقت المعجزات والإنجازات؟","## استغل أول النهار\n\nتوزيع الأرزاق يكون في البكور. الناجحون هم من يستيقظون قبل الشمس.\n\n### العادة:\nجرب إنجاز أصعب مهامك بعد صلاة الفجر مباشرة.","2026-02-21"
"طلب العلم: فريضة وعبادة","talab-al-ilm","إيمانيات","طريق العلم هو طريق الجنة. لماذا رفع الله قدر العلماء وما هي بركة التعلم المستمر؟","## يرفع الله الذين آمنوا والذين أوتوا العلم درجات\n\nالعلم نور والجهل ظلام. استمر في تعلم دينك ودنياك.\n\n### الهدف:\nخصص 10 دقائق يومياً لتعلم شيء جديد ينفعك.","2026-02-22"
"الحياء: زينة المؤمن","al-hayaa","أخلاق","الحياء لا يأتي إلا بخير. كيف يحميك الحياء من الوقوع في المعاصي ويزيدك وقاراً؟","## الحياء شعبة من الإيمان\n\nإذا ذهب الحياء ذهب الإيمان. هو خلق يمنعك من القبيح.\n\n### المعنى:\nالحياء من الله قبل الناس هو أعلى درجات الحياء.","2026-02-23"
"التسامح والعفو عند المقدرة","tasamuh-wa-afw","أخلاق","أرح قلبك بالعفو عن الناس. كيف تحول الغيظ إلى سلام نفسي وأجر عظيم عند الله؟","## فمن عفا وأصلح فأجره على الله\n\nالتسامح ليس ضعفاً، بل هو قوة المنتصر. 'والعافين عن الناس'.\n\n### النتيجة:\nمن عفا عن الناس عفا الله عنه. صفّ قلبك الليلة.","2026-02-24"
"الاستقامة: سر النجاة","istiqama","إيمانيات","قل آمنت بالله ثم استقم. كيف تحافظ على ثباتك في زمن المتغيرات والفتن؟","## فاستقم كما أمرت\n\nالاستقامة هي أعظم كرامة. هي المداومة على الخير وإن قل.\n\n### الثبات:\nالدعاء 'يا مقلب القلوب ثبت قلبي على دينك'.","2026-02-25"
"جبر الخواطر: عبادة خفية","jabr-al-khawatir","أخلاق","ما عبد الله بشيء أحب إليه من جبر الخواطر. كيف تكون بلسماً لجراح من حولك؟","## من سار بين الناس جابراً للخواطر\n\nكلمة حانية، ابتسامة، أو مساندة في وقت ضيق. جبر الخواطر من شيم الكرام.\n\n### الأثر:\nمن جبر خواطر الناس جبر الله خاطره في أصعب لحظات حياته.","2026-02-26"
"اليقين وحسن الظن بالله","yaqin-billah","إيمانيات","أنا عند ظن عبدي بي. كيف ترفع سقف توقعاتك من الله وتنتظر المعجزات؟","## اليقين هو تمام الإيمان\n\nلا تدعُ الله وأنت تجرّب، بل ادعُ وأنت موقن بالإجابة. اليقين يغير القدر.\n\n### الحالة:\nتفاءل خيراً مهما كانت الظروف، فالله يدبر الأمر بحكمة.","2026-02-27"
